Date,Time,Pid,Address,Permission,Offset,Device,Inode,Pathname
2022-01-31,20:21:01,7393,02173000-02194000,rw-p,00000000,00:00,0,['[heap]']
2022-01-31,20:21:01,7393,7fcd5701c000-7fcd5d55f000,r--p,00000000,fd:00,12584405,['/usr/lib/locale/locale-archive']
2022-01-31,20:21:01,7393,7fcd5d55f000-7fcd5d723000,r-xp,00000000,fd:00,8822,['/usr/lib64/libc-2.17.so']
2022-01-31,20:21:01,7393,7fcd5d723000-7fcd5d922000,---p,001c4000,fd:00,8822,['/usr/lib64/libc-2.17.so']
2022-01-31,20:21:01,7393,7fcd5d922000-7fcd5d926000,r--p,001c3000,fd:00,8822,['/usr/lib64/libc-2.17.so']
2022-01-31,20:21:01,7393,7fcd5d926000-7fcd5d928000,rw-p,001c7000,fd:00,8822,['/usr/lib64/libc-2.17.so']
2022-01-31,20:21:01,7393,7fcd5d928000-7fcd5d92d000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7393,7fcd5d92d000-7fcd5d92f000,r-xp,00000000,fd:00,8830,['/usr/lib64/libdl-2.17.so']
2022-01-31,20:21:01,7393,7fcd5d92f000-7fcd5db2f000,---p,00002000,fd:00,8830,['/usr/lib64/libdl-2.17.so']
2022-01-31,20:21:01,7393,7fcd5db2f000-7fcd5db30000,r--p,00002000,fd:00,8830,['/usr/lib64/libdl-2.17.so']
2022-01-31,20:21:01,7393,7fcd5db30000-7fcd5db31000,rw-p,00003000,fd:00,8830,['/usr/lib64/libdl-2.17.so']
2022-01-31,20:21:01,7393,7fcd5db31000-7fcd5db56000,r-xp,00000000,fd:00,12578,['/usr/lib64/libtinfo.so.5.9']
2022-01-31,20:21:01,7393,7fcd5db56000-7fcd5dd56000,---p,00025000,fd:00,12578,['/usr/lib64/libtinfo.so.5.9']
2022-01-31,20:21:01,7393,7fcd5dd56000-7fcd5dd5a000,r--p,00025000,fd:00,12578,['/usr/lib64/libtinfo.so.5.9']
2022-01-31,20:21:01,7393,7fcd5dd5a000-7fcd5dd5b000,rw-p,00029000,fd:00,12578,['/usr/lib64/libtinfo.so.5.9']
2022-01-31,20:21:01,7393,7fcd5dd5b000-7fcd5dd7d000,r-xp,00000000,fd:00,728737,['/usr/lib64/ld-2.17.so']
2022-01-31,20:21:01,7393,7fcd5df6d000-7fcd5df70000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7393,7fcd5df74000-7fcd5df7b000,r--s,00000000,fd:00,12528,['/usr/lib64/gconv/gconv-modules.cache']
2022-01-31,20:21:01,7393,7fcd5df7b000-7fcd5df7c000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7393,7fcd5df7c000-7fcd5df7d000,r--p,00021000,fd:00,728737,['/usr/lib64/ld-2.17.so']
2022-01-31,20:21:01,7393,7fcd5df7d000-7fcd5df7e000,rw-p,00022000,fd:00,728737,['/usr/lib64/ld-2.17.so']
2022-01-31,20:21:01,7393,7fcd5df7e000-7fcd5df7f000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7393,7ffd3de48000-7ffd3de69000,rw-p,00000000,00:00,0,['[stack]']
2022-01-31,20:21:01,7393,7ffd3df88000-7ffd3df8a000,r-xp,00000000,00:00,0,['[vdso]']
2022-01-31,20:21:01,7393,ffffffffff600000-ffffffffff601000,r-xp,00000000,00:00,0,['[vsyscall]']
2022-01-31,20:21:01,7394,00400000-00401000,r-xp,00000000,fd:00,12970579,['/usr/bin/python3.6']
2022-01-31,20:21:01,7394,00601000-00602000,r--p,00001000,fd:00,12970579,['/usr/bin/python3.6']
2022-01-31,20:21:01,7394,00602000-00603000,rw-p,00002000,fd:00,12970579,['/usr/bin/python3.6']
2022-01-31,20:21:01,7394,00cd8000-027e3000,rw-p,00000000,00:00,0,['[heap]']
2022-01-31,20:21:01,7394,7fd2f4000000-7fd2f4021000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7394,7fd2f4021000-7fd2f8000000,---p,00000000,00:00,0,
2022-01-31,20:21:01,7394,7fd2fc000000-7fd2fc114000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7394,7fd2fc114000-7fd300000000,---p,00000000,00:00,0,
2022-01-31,20:21:01,7394,7fd301f08000-7fd301f09000,---p,00000000,00:00,0,
2022-01-31,20:21:01,7394,7fd301f09000-7fd302709000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7394,7fd302709000-7fd30270a000,---p,00000000,00:00,0,
2022-01-31,20:21:01,7394,7fd30270a000-7fd302f0a000,rw-p,00000000,00:00,0,
2022-01-31,20:21:01,7394,7fd302f0a000-7fd302f0b000,---p,00000000,00:00,0,
